fare_id,route_id,origin_id,destination_id,contains_id
93,,ASHB,DUBL,
95,,ASHB,PITT,
84,,ASHB,NCON,
88,,ASHB,COLM,
80,,ASHB,CONC,
72,,ASHB,PHIL,
69,,ASHB,WCRK,
59,,ASHB,LAFY,
47,,ASHB,ORIN,
39,,ASHB,ROCK,
39,,ASHB,WOAK,
77,,ASHB,EMBR,
77,,ASHB,MONT,
77,,ASHB,POWL,
77,,ASHB,CIVC,
81,,ASHB,16TH,
82,,ASHB,24TH,
85,,ASHB,GLEN,
86,,ASHB,BALB,
89,,ASHB,DALY,
169,,ASHB,OAKL,
89,,MCAR,SSAN,
95,,MCAR,SBRN,
187,,MCAR,SFIA,
101,,MCAR,MLBR,
87,,MCAR,WDUB,
54,,MCAR,RICH,
47,,MCAR,DELN,
41,,MCAR,PLZA,
39,,MCAR,NBRK,
39,,MCAR,DBRK,
39,,MCAR,ASHB,
115,,MCAR,MCAR,
39,,MCAR,19TH,
39,,MCAR,12TH,
39,,MCAR,LAKE,
39,,MCAR,FTVL,
45,,MCAR,COLS,
54,,MCAR,SANL,
61,,MCAR,BAYF,
68,,MCAR,HAYW,
74,,MCAR,SHAY,
83,,MCAR,UCTY,
90,,MCAR,FRMT,
68,,MCAR,CAST,
90,,MCAR,DUBL,
95,,MCAR,PITT,
84,,MCAR,NCON,
86,,MCAR,COLM,
80,,MCAR,CONC,
72,,MCAR,PHIL,
69,,MCAR,WCRK,
58,,MCAR,LAFY,
39,,MCAR,ORIN,
39,,MCAR,ROCK,
39,,MCAR,WOAK,
73,,MCAR,EMBR,
73,,MCAR,MONT,
73,,MCAR,POWL,
73,,MCAR,CIVC,
76,,MCAR,16TH,
78,,MCAR,24TH,
82,,MCAR,GLEN,
84,,MCAR,BALB,
86,,MCAR,DALY,
165,,MCAR,OAKL,
87,,19TH,SSAN,
93,,19TH,SBRN,
185,,19TH,SFIA,
99,,19TH,MLBR,
85,,19TH,WDUB,
58,,19TH,RICH,
51,,19TH,DELN,
45,,19TH,PLZA,
39,,19TH,NBRK,
39,,19TH,DBRK,
39,,19TH,ASHB,
39,,19TH,MCAR,
115,,19TH,19TH,
39,,19TH,12TH,
39,,19TH,LAKE,
39,,19TH,FTVL,
39,,19TH,COLS,
50,,19TH,SANL,
57,,19TH,BAYF,
66,,19TH,HAYW,
72,,19TH,SHAY,
82,,19TH,UCTY,
88,,19TH,FRMT,
66,,19TH,CAST,
88,,19TH,DUBL,
95,,19TH,PITT,
85,,19TH,NCON,
84,,19TH,COLM,
81,,19TH,CONC,
73,,19TH,PHIL,
70,,19TH,WCRK,
61,,19TH,LAFY,
49,,19TH,ORIN,
39,,19TH,ROCK,
39,,19TH,WOAK,
69,,19TH,EMBR,
69,,19TH,MONT,
69,,19TH,POWL,
69,,19TH,CIVC,
72,,19TH,16TH,
74,,19TH,24TH,
79,,19TH,GLEN,
82,,19TH,BALB,
84,,19TH,DALY,
159,,19TH,OAKL,
87,,12TH,SSAN,
93,,12TH,SBRN,
185,,12TH,SFIA,
99,,12TH,MLBR,
85,,12TH,WDUB,
58,,12TH,RICH,
51,,12TH,DELN,
45,,12TH,PLZA,
39,,12TH,NBRK,
39,,12TH,DBRK,
39,,12TH,ASHB,
39,,12TH,MCAR,
39,,12TH,19TH,
115,,12TH,12TH,
39,,12TH,LAKE,
39,,12TH,FTVL,
39,,12TH,COLS,
50,,12TH,SANL,
57,,12TH,BAYF,
66,,12TH,HAYW,
72,,12TH,SHAY,
82,,12TH,UCTY,
88,,12TH,FRMT,
66,,12TH,CAST,
88,,12TH,DUBL,
95,,12TH,PITT,
85,,12TH,NCON,
84,,12TH,COLM,
81,,12TH,CONC,
73,,12TH,PHIL,
70,,12TH,WCRK,
